PID	Common Name :: title	Scientific Name (Species) :: subTitle	Collector :: namePart	Artist :: namePart	dateCreated @keyDate="yes" @point="start"	publisher	dateCaptured	dateCreated @point="end"	Place Collected :: geographic	Time Period :: temporal	Description	Family Name (Latin)	Family Name (English)	Date(s) Collected	typeOfResource	note @type="medium"	internetMediaType	extent	languageTerm @type="code"	Source	Relation	Digital Collection :: title	OCLC Member Symbol	Physical Location	Institution Web Site	subLocation	Contact Information	Rights	Cite As	Object File Name	Migrated From	recordOrigin	recordCreationDate	recordChangeDate	fileSize	digitizedBy	imageManipulation	colorMode	cataloger	hardwareSoftware	alias	pointer	imageBitDepth	imageResolution	note @type="content"
lsu-sc-msw:134	Potato Bean or Ground Nut	Apios americana Medic.	Givens, Florence M. (flowers and tubers)||Blackman, Bill (fruit)	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-02-08	1989	West Feliciana Parish	1976-1989	"Ground nut, a common twining vine found in stream and pond margins, has dark green, pinnately compound leaves and dense clusters of papilionaceous flowers. The banner is white on the outside and purple to reddish brown on the inner surface. The less conspicuous wing and keel petals exhibit similar colors. The intricately shaped flowers exhibit a peculiar tripping mechanism to aid pollination by certain bee species. Beneath the ground are strings of storage tubers, once used for food by Native Americans. The seeds of this plant are also edible. Researchers are looking at the feasibility of cultivating this species for food, as has been done with many of its relatives in the legume family." -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.57	FABACEAE	Legume Family	August 31, 1982 (flowers); October, 1984 (fruit); July 18, 1984 (tubers)	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000009	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/43	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-05-04	2017-02-02	21.0 MB	ANH	Contrast and brightness adjusted to match original.	Color RGB	ajb	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	43	8-bit	600 dpi	
lsu-sc-msw:135	Powdery Thalia	Thalia dealbata Roscoe	Barker, Nancy	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-09-23	1989	Iberville Parish	1976-1989	"Powdery thalia, an elegant and colorful plant found in freshwater marshes and ditches of the southeastern coastal plain, may grow to eight feet in height. Its broad leaves resemble those of canna, and its showy flowers are borne in pairs on tall, terminal, zigzag-branching inflorescences. The perianth consists of three minute sepals and three purple petals; its three stamens are petal-like, and only one bears a fertile, functional anther. The specific epithet refers to the white, powdery, wax-like substance on the inflorescence of this species and is the reason for this plant's common name. One of approximately a dozen species in this genus grows in Louisiana, another grows in Florida, and the others are found in the Americas and Africa. Most of the 350 species in the arrowroot family grow in tropical America. Roots of the West Indian arrowroot (Maranta arundinacea) are of considerable importance as a source of starch. Tough, durable leaves of Calathea lutea are used for roofing houses in parts of the American tropics. A few species of Calathea and Maranta are grown as ornamental houseplants."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 144	MARANTACEAE	Arrowroot Family	April 19, 1982	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000204	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/212	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-10-28	2017-02-02	19.3 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	212	8-bit	600 dpi	
lsu-sc-msw:136	Prairie Rose	Rosa setigera Michx.	Robbins, Jim	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-08-12	1989	Bossier Parish	1976-1989	"Only two species of roses, Rosa setigera and R. Carolina (the Carolina rose), are native to Louisiana, and both have pink flowers. Two commonly encountered white-flowering species (the Cherokee and Macartney roses) are introductions from Asia. The prairie rose is distinguished from the Carolina rose by its arching or trailing stems, which may be fifteen feet long, its pinnate leaves, usually with three leaflets, and its styles that project well beyond the opening of the floral cup. A few to several flowers may be clustered together, forming a somewhat-flattened inflorescence. The hip produced from the flower is subglobose and red with reflexed persistent sepals. Although prairie rose is widely distributed in the eastern United States, where it grows in open woods, thickets, and clearings, it appears to be restricted in Louisiana to the northern parishes. This species would be suitable for planting on embankments as an attractive ground cover and as a source of food for wildlife."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 176	ROSACEAE	Rose Family	May 25, 1982; October, 1984 (fruit)	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000177	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/182	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-10-17	2017-02-02	21.3 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	182	8-bit	600 dpi	
lsu-sc-msw:137	Puccoon	Lithospermum tuberosum Regel ex DC.	Pruski, John	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-07-27	1989	Wilkinson, County, Mississippi	1976-1989	"Characterized by delicate, pale yellow flowers, the puccoon is a widely distributed woodland wildflower. Like most members of the borage family, its stems and leaves are covered with coarse, stiff, white hairs, and its inflorescences when young are coiled like a scorpion's tail. As the flowers mature, the inflorescence axis straightens. The five-lobed calyx surrounds the base of the narrow corolla tube which abruptly flares into a five-lobed, disklike structure. Concealed within the corolla tube are five tiny anthers. Seeds are produced within each flower in four stony nutlets, as alluded to by the generic name, which literally means "stone seed." A rather extensive rhizome system develops below ground, and upon drying, it diffuses a violet-colored substance, staining the paper upon which specimens of this species are mounted. Most members of the borage family are relatively inconspicuous plants of various habitats, but a few are well-known ornamentals such as comfrey and Myosotis, the forget-me-nots."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 47	BORAGINACEAE	Borage Family	April 6, 1981	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000115	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/125	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-08-03	2017-02-02	21.3 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	125	8-bit	600 dpi	Collection location as appears on the drawing is West Feliciana Parish. Collection date as appears on the drawing is April 6, 1982.
lsu-sc-msw:138	Purple Bladderwort	Utricularia purpurea Walt.	Barker, Nancy||Givens, Florence M.||Rebertus, Alan	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-09-23	1989	St. Tammany Parish	1976-1989	"Purple bladderwort grows in pools of quiet water throughout much of eastern North America, the West Indies, and Central America. Although widely distributed, this species is uncommon in Louisiana and has been reported from only a few of its southern parishes. It is readily recognizable by its two to five purple flowers borne on upright racemes, which rise about six inches above the water. Corollas of this plant are approximately one-half inch across with a short, blunt, cone-shaped spur. The upper lip of the corolla is flat to concave, and the lower one is three-lobed and has a basal, yellow spot. Stems of purple bladderwort float below the water's surface and have whorls of from five to seven branches on each node. The branches themselves may bear whorls of smaller branches that sometimes terminate in a bladder for trapping small aquatic creatures."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.104	LENTIBULARIACEAE	Bladderwort Family	August 22, 1983	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000211	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/221	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-10-28	2017-02-02	19.4 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	221	8-bit	600 dpi	Horned Bladderwort (Utricularia cornuta) also appears on this drawing.
lsu-sc-msw:139	Purple Coneflower	Echinacea purpurea (L.) Moench	Urbatsch, Lowell E.||Cox, Patricia Pias	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-07-19	1989	Caldwell Parish	1976-1989	"Purple coneflower is perhaps the best known and most widely grown species of Echinacea. Its natural geographic distribution centers in Missouri and Arkansas, but the popularity of this plant has led to its introduction throughout the eastern United States. Native populations of purple coneflower grow only in Caldwell Parish. Other reports for this species in Louisiana are probably from cultivation or garden escapes. This species has broader leaves and showier heads than those of the pale coneflower. Purple coneflower's disk is orange to gold, and its rays are broader and may vary in color from nearly white to purple. The popularity of tincture of Echinacea, extracted from the roots of various species in this genus, and used as a medicinal treatment for a variety of ailments, has waxed and waned during the last 150 years."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 26	ASTERACEAE	Sunflower Family	July 11, 1989	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000061	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/74	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-07-26	2017-02-02	21.1 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	74	8-bit	600 dpi	
lsu-sc-msw:13	Bellwort	Uvularia sessilifolia L.	Thomas, R. Dale||Urbatsch, Lowell E.	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-10-07	1989	Lincoln Parish	1976-1989	"Bellwort is a delicate perennial that grows on rich, wooded hillsides. Its shoots emerge from a slender rhizome in the early spring. Their yellow-green, elliptic leaves are at first folded and closely clustered as the stem emerges, but they become more widely separated after they fully elongate. The pendant flowers, which appear with the new leaves, are a pale yellow. Their corollas are each composed of six similar segments and surround the six stamens and the three-parted ovary. Uvularia seems to be an unusual name for a plant. Apparently, the manner in which the pretty, pendant flowers hang from the inflorescence reminded Linnaeus, who named the plant, of the uvula of the palate. This eastern North American genus belongs in the lily family and contains five species. Besides U. sessilifolia, one other species, U. perfoliata, grows in Louisiana. The former is known only from some of the northern parishes, and the latter is restricted to the extreme southeastern part of the state."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 140	LILIACEAE	Lily Family	March 13, 1982	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000213	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/223	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-10-28	2017-02-02	19.3 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	223	8-bit	600 dpi	
lsu-sc-msw:140	Pyramid Magnolia	Magnolia pyramidata Bartr.	Meier, Albert||Givens, Florence M.	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-07-27	1989	West Feliciana Parish	1976-1989	"Pyramid magnolia has been discovered in only three parishes in Louisiana. Its total geographic range is confined to the region of the Gulf Coast from the Florida Panhandle to east Texas. Like the bigleaf magnolia, this species grows in the understory of rich, mesic, deciduous forests. Except for its smaller size, pyramid magnolia is similar to bigleaf magnolia. Its slender, light gray trunks support a rounded, branching crown. The branch tips support umbrella-like clusters of auriculately based leaves that are typically about one foot in length. Flowers of about six inches in diameter composed of nine perianth parts and many stamens and carpel appear after the tree's new leaves are well formed. The national champion pyramid magnolia, reported from Newton County, Texas, has a height of fifty-seven feet and a circumference of six feet four inches. A few pyramid magnolias have been successfully grown as interesting accent plants, but because this plant is generally unavailable, its performance in cultivation remains largely untested."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 130	MAGNOLIACEAE	Magnolia Family	April 15, 1985 (flowers); September, 1986 (fruit)	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000124	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/123	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-08-03	2017-02-02	21.1 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	123	8-bit	600 dpi	Drawing notes, "seeds dehisced."
lsu-sc-msw:141	Rayless Goldenrod	Bigelowia nudata (Michx.) DC.	Urbatsch, Lowell E.	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-04-06	1989	St. Tammany Parish	1976-1989	"The rayless goldenrod is one of the many diverse species associated with pitcher plants in the bogs and the wet pine savannas of the Gulf Coast. This species is easily recognized during its flowering season in the late summer and fall. The plant grows to no more than two feet in height and characteristically produces a rosette of leaves that widen toward their apices. Several stems, which become many-branched upwardly, arise within the basal rosette and bear numerous threadlike leaves. This plant's flat-topped inflorescence consists of innumerable small heads composed of from two to five yellow disk flowers. As indicated by the common name, this species lacks the strap-shaped ray flowers often found in members of the sunflower family. Bigelowia, a genus of only two species, grows mostly in the southeastern United States."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 8	ASTERACEAE	Sunflower Family	September 7, 1983	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000226	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/235	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-11-04	2017-02-02	21.4 MB	ANH	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	235	8-bit	600 dpi	
lsu-sc-msw:142	Red Buckeye	Aesculus pavia L.	Smith, Emory (flowers)||Urbatsch, Lowell E.||Pruski, John (fruit)	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-02-08	1989	West Feliciana Parish (flowers)||East Baton Rouge Parish (fruit)	1976-1989	"The red buckeye grows in the understory of rich woodlands throughout most of Louisiana and the southeastern United States. It is easily identifiable by its opposite, palmately compound leaves and large clusters of red-orange flowers that appear in spring. The shiny, rich brown seeds contained within a tan leathery fruit can be seen in the fall. Red buckeye, an attractive landscape plant, is readily grown from freshly harvested seed and will thrive under various conditions, but its leaves may become unsightly in the late summer because of the fungal disease anthracnose." -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.96	HIPPOCASTANACEAE	Buckeye Family	March 29, 1980 (flowers); September 5, 1980 (fruit)	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000002	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/36	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-05-04	2017-02-02	21.0 MB	ANH	Contrast and brightness adjusted to match original.	Color RGB	ajb	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	36	8-bit	600 dpi	
lsu-sc-msw:143	Red Chokeberry	Aronia Arbutifolia (L.) Ell.	Smith, Emory (flowers)||Smith, Latimore (fruit)	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-02-15	1989	East Baton Rouge Parish (flowers)||Washington Parish (fruit)	1976-1989	"In red chokeberry, pinkish buds produce clusters of small white flowers with lavender-pink anthers on wandlike stems in early spring. Rather persistent red fruits subsequently develop. This shrub, which may grow to ten feet tall, bears simple, elliptic, alternately arranged leaves with finely toothed margins and tomentose undersides. Red chokeberry is a common member of the diverse bog and wet pine savanna community in Louisiana and the Gulf and Atlantic coastal plains." -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.195	ROSACEAE	Rose Family	March 5, 1981 (flowers); October 22, 1981 (fruit)	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000013	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/23	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-05-04	2017-02-02	21.1 MB	ANH	Contrast and brightness adjusted to match original.	Color RGB	clg	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	23	8-bit	600 dpi	
